日期,时间,成交价,成交量,总量,额,B1价,B1量,B2价,B2量,B3价,B3量,B4价,B4量,B5价,B5量,S1价,S1量,S2价,S2量,S3价,S3量,S4价,S4量,S5价,S5量,BS
2016-1-27,09:15:12,9.87,0,0,0,9.87,583,0.00,1057,0.00,0,0.00,0,0.00,0,9.87,583,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-27,09:18:10,9.88,0,0,0,9.88,627,9.87,0,9.86,0,9.85,0,9.84,0,9.88,627,9.89,166,9.90,0,9.91,0,9.92,0,B
2016-1-27,09:18:33,9.99,0,0,0,9.99,1365,9.98,0,9.97,0,9.96,0,9.95,0,9.99,1365,10.00,401,10.01,0,10.02,0,10.03,0,B
2016-1-27,09:19:19,9.88,0,0,0,9.88,661,9.87,0,9.86,0,9.85,0,9.84,0,9.88,661,9.89,143,9.90,0,9.91,0,9.92,0,B
2016-1-27,09:20:54,9.90,0,0,0,9.90,831,9.89,17,9.88,0,9.87,0,9.86,0,9.90,831,9.91,0,9.92,0,9.93,0,9.94,0,B
2016-1-27,09:21:24,9.92,0,0,0,9.92,866,9.91,27,9.90,0,9.89,0,9.88,0,9.92,866,9.93,0,9.94,0,9.95,0,9.96,0,B
2016-1-27,09:21:33,9.91,0,0,0,9.91,936,9.90,15,9.89,0,9.88,0,9.87,0,9.91,936,9.92,0,9.93,0,9.94,0,9.95,0,B
2016-1-27,09:21:41,9.90,0,0,0,9.90,973,9.89,211,9.88,0,9.87,0,9.86,0,9.90,973,9.91,0,9.92,0,9.93,0,9.94,0,B
2016-1-27,09:22:12,9.91,0,0,0,9.91,1009,9.90,15,9.89,0,9.88,0,9.87,0,9.91,1009,9.92,0,9.93,0,9.94,0,9.95,0,B
2016-1-27,09:22:33,9.89,0,0,0,9.89,1440,9.88,106,9.87,0,9.86,0,9.85,0,9.89,1440,9.90,0,9.91,0,9.92,0,9.93,0,B
2016-1-27,09:22:50,9.90,0,0,0,9.90,1527,9.89,183,9.88,0,9.87,0,9.86,0,9.90,1527,9.91,0,9.92,0,9.93,0,9.94,0,B
2016-1-27,09:23:51,9.91,0,0,0,9.91,2184,9.90,148,9.89,0,9.88,0,9.87,0,9.91,2184,9.92,0,9.93,0,9.94,0,9.95,0,B
2016-1-27,09:24:03,9.90,0,0,0,9.90,2626,9.89,613,9.88,0,9.87,0,9.86,0,9.90,2626,9.91,0,9.92,0,9.93,0,9.94,0,B
2016-1-27,09:24:24,9.91,0,0,0,9.91,2682,9.90,251,9.89,0,9.88,0,9.87,0,9.91,2682,9.92,0,9.93,0,9.94,0,9.95,0,B
2016-1-27,09:24:51,9.92,0,0,0,9.92,3277,9.91,522,9.90,0,9.89,0,9.88,0,9.92,3277,9.93,0,9.94,0,9.95,0,9.96,0,B
